ct_id,time_period,color
17031010100,10:00 - 10:30,yellow
17031010100,6:00 - 6:30,lime
17031010100,6:30 - 7:00,lime
17031010100,7:00 - 7:30,yellow
17031010100,7:30 - 8:00,yellow
17031010100,8:00 - 8:30,yellow
17031010100,8:30 - 9:00,yellow
17031010100,9:00 - 9:30,lime
17031010100,9:30 - 10:00,yellow
17031010201,10:00 - 10:30,lime
17031010201,6:00 - 6:30,lime
17031010201,6:30 - 7:00,lime
17031010201,7:00 - 7:30,yellow
17031010201,7:30 - 8:00,yellow
17031010201,8:00 - 8:30,yellow
17031010201,8:30 - 9:00,lime
17031010201,9:00 - 9:30,lime
17031010201,9:30 - 10:00,lime
17031010202,10:00 - 10:30,yellow
17031010202,6:00 - 6:30,lime
17031010202,6:30 - 7:00,lime
17031010202,7:00 - 7:30,yellow
17031010202,7:30 - 8:00,yellow
17031010202,8:00 - 8:30,yellow
17031010202,8:30 - 9:00,yellow
17031010202,9:00 - 9:30,yellow
17031010202,9:30 - 10:00,yellow
17031010300,10:00 - 10:30,lime
17031010300,6:00 - 6:30,lime
17031010300,6:30 - 7:00,lime
17031010300,7:00 - 7:30,lime
17031010300,7:30 - 8:00,lime
17031010300,8:00 - 8:30,yellow
17031010300,8:30 - 9:00,lime
17031010300,9:00 - 9:30,lime
17031010300,9:30 - 10:00,lime
17031010400,10:00 - 10:30,lime
17031010400,6:00 - 6:30,lime
17031010400,6:30 - 7:00,lime
17031010400,7:00 - 7:30,lime
17031010400,7:30 - 8:00,yellow
17031010400,8:00 - 8:30,yellow
17031010400,8:30 - 9:00,yellow
17031010400,9:00 - 9:30,lime
17031010400,9:30 - 10:00,lime
17031010501,10:00 - 10:30,lime
17031010501,6:00 - 6:30,lime
17031010501,6:30 - 7:00,lime
17031010501,7:00 - 7:30,lime
17031010501,7:30 - 8:00,yellow
17031010501,8:00 - 8:30,lime
17031010501,8:30 - 9:00,lime
17031010501,9:00 - 9:30,lime
17031010501,9:30 - 10:00,lime
17031010502,10:00 - 10:30,green
17031010502,6:00 - 6:30,green
17031010502,6:30 - 7:00,green
17031010502,7:00 - 7:30,green
17031010502,7:30 - 8:00,lime
17031010502,8:00 - 8:30,lime
17031010502,8:30 - 9:00,green
17031010502,9:00 - 9:30,lime
17031010502,9:30 - 10:00,green
17031010503,10:00 - 10:30,lime
17031010503,6:00 - 6:30,green
17031010503,6:30 - 7:00,lime
17031010503,7:00 - 7:30,yellow
17031010503,7:30 - 8:00,lime
17031010503,8:00 - 8:30,lime
17031010503,8:30 - 9:00,lime
17031010503,9:00 - 9:30,lime
17031010503,9:30 - 10:00,green
17031010600,10:00 - 10:30,yellow
17031010600,6:00 - 6:30,lime
17031010600,6:30 - 7:00,lime
17031010600,7:00 - 7:30,yellow
17031010600,7:30 - 8:00,yellow
17031010600,8:00 - 8:30,yellow
17031010600,8:30 - 9:00,yellow
17031010600,9:00 - 9:30,yellow
17031010600,9:30 - 10:00,yellow
17031010701,10:00 - 10:30,lime
17031010701,6:00 - 6:30,green
17031010701,6:30 - 7:00,green
17031010701,7:00 - 7:30,green
17031010701,7:30 - 8:00,green
17031010701,8:00 - 8:30,lime
17031010701,8:30 - 9:00,lime
17031010701,9:00 - 9:30,lime
17031010701,9:30 - 10:00,lime
17031010702,10:00 - 10:30,lime
17031010702,6:00 - 6:30,lime
17031010702,6:30 - 7:00,lime
17031010702,7:00 - 7:30,lime
17031010702,7:30 - 8:00,yellow
17031010702,8:00 - 8:30,lime
17031010702,8:30 - 9:00,yellow
17031010702,9:00 - 9:30,yellow
17031010702,9:30 - 10:00,yellow
17031020100,10:00 - 10:30,lime
17031020100,6:00 - 6:30,lime
17031020100,6:30 - 7:00,lime
17031020100,7:00 - 7:30,lime
17031020100,7:30 - 8:00,lime
17031020100,8:00 - 8:30,lime
17031020100,8:30 - 9:00,lime
17031020100,9:00 - 9:30,lime
17031020100,9:30 - 10:00,lime
17031020200,10:00 - 10:30,lime
17031020200,6:00 - 6:30,lime
17031020200,6:30 - 7:00,lime
17031020200,7:00 - 7:30,lime
17031020200,7:30 - 8:00,lime
17031020200,8:00 - 8:30,lime
17031020200,8:30 - 9:00,lime
17031020200,9:00 - 9:30,lime
17031020200,9:30 - 10:00,lime
17031020301,10:00 - 10:30,lime
17031020301,6:00 - 6:30,green
17031020301,6:30 - 7:00,lime
17031020301,7:00 - 7:30,green
17031020301,7:30 - 8:00,lime
17031020301,8:00 - 8:30,lime
17031020301,8:30 - 9:00,lime
17031020301,9:00 - 9:30,lime
17031020301,9:30 - 10:00,lime
17031020302,10:00 - 10:30,lime
17031020302,6:00 - 6:30,lime
17031020302,6:30 - 7:00,lime
17031020302,7:00 - 7:30,lime
17031020302,7:30 - 8:00,lime
17031020302,8:00 - 8:30,lime
17031020302,8:30 - 9:00,lime
17031020302,9:00 - 9:30,lime
17031020302,9:30 - 10:00,lime
17031020400,10:00 - 10:30,lime
17031020400,6:00 - 6:30,lime
17031020400,6:30 - 7:00,lime
17031020400,7:00 - 7:30,lime
17031020400,7:30 - 8:00,lime
17031020400,8:00 - 8:30,lime
17031020400,8:30 - 9:00,yellow
17031020400,9:00 - 9:30,lime
17031020400,9:30 - 10:00,lime
17031020500,10:00 - 10:30,lime
17031020500,6:00 - 6:30,lime
17031020500,6:30 - 7:00,yellow
17031020500,7:00 - 7:30,yellow
17031020500,7:30 - 8:00,yellow
17031020500,8:00 - 8:30,lime
17031020500,8:30 - 9:00,lime
17031020500,9:00 - 9:30,lime
17031020500,9:30 - 10:00,lime
17031020601,10:00 - 10:30,lime
17031020601,6:00 - 6:30,lime
17031020601,6:30 - 7:00,lime
17031020601,7:00 - 7:30,lime
17031020601,7:30 - 8:00,lime
17031020601,8:00 - 8:30,lime
17031020601,8:30 - 9:00,lime
17031020601,9:00 - 9:30,lime
17031020601,9:30 - 10:00,lime
17031020602,10:00 - 10:30,lime
17031020602,6:00 - 6:30,lime
17031020602,6:30 - 7:00,lime
17031020602,7:00 - 7:30,lime
17031020602,7:30 - 8:00,lime
17031020602,8:00 - 8:30,lime
17031020602,8:30 - 9:00,lime
17031020602,9:00 - 9:30,green
17031020602,9:30 - 10:00,green
17031020701,10:00 - 10:30,green
17031020701,6:00 - 6:30,green
17031020701,6:30 - 7:00,green
17031020701,7:00 - 7:30,lime
17031020701,7:30 - 8:00,lime
17031020701,8:00 - 8:30,lime
17031020701,8:30 - 9:00,lime
17031020701,9:00 - 9:30,green
17031020701,9:30 - 10:00,green
17031020702,10:00 - 10:30,lime
17031020702,6:00 - 6:30,lime
17031020702,6:30 - 7:00,lime
17031020702,7:00 - 7:30,lime
17031020702,7:30 - 8:00,yellow
17031020702,8:00 - 8:30,yellow
17031020702,8:30 - 9:00,lime
17031020702,9:00 - 9:30,lime
17031020702,9:30 - 10:00,lime
17031020801,10:00 - 10:30,lime
17031020801,6:00 - 6:30,green
17031020801,6:30 - 7:00,lime
17031020801,7:00 - 7:30,lime
17031020801,7:30 - 8:00,lime
17031020801,8:00 - 8:30,yellow
17031020801,8:30 - 9:00,yellow
17031020801,9:00 - 9:30,lime
17031020801,9:30 - 10:00,lime
17031020802,10:00 - 10:30,lime
17031020802,6:00 - 6:30,lime
17031020802,6:30 - 7:00,yellow
17031020802,7:00 - 7:30,yellow
17031020802,7:30 - 8:00,yellow
17031020802,8:00 - 8:30,yellow
17031020802,8:30 - 9:00,yellow
17031020802,9:00 - 9:30,yellow
17031020802,9:30 - 10:00,lime
17031020901,10:00 - 10:30,lime
17031020901,6:00 - 6:30,lime
17031020901,6:30 - 7:00,lime
17031020901,7:00 - 7:30,yellow
17031020901,7:30 - 8:00,lime
17031020901,8:00 - 8:30,yellow
17031020901,8:30 - 9:00,lime
17031020901,9:00 - 9:30,lime
17031020901,9:30 - 10:00,lime
17031020902,10:00 - 10:30,lime
17031020902,6:00 - 6:30,lime
17031020902,6:30 - 7:00,lime
17031020902,7:00 - 7:30,lime
17031020902,7:30 - 8:00,lime
17031020902,8:00 - 8:30,lime
17031020902,8:30 - 9:00,lime
17031020902,9:00 - 9:30,lime
17031020902,9:30 - 10:00,lime
17031030101,10:00 - 10:30,lime
