ct_id,time_period,color
6037101110,10:00 - 10:30,lime
6037101110,6:00 - 6:30,green
6037101110,6:30 - 7:00,green
6037101110,7:00 - 7:30,green
6037101110,7:30 - 8:00,lime
6037101110,8:00 - 8:30,lime
6037101110,8:30 - 9:00,lime
6037101110,9:00 - 9:30,lime
6037101110,9:30 - 10:00,lime
6037101122,10:00 - 10:30,green
6037101122,6:00 - 6:30,green
6037101122,6:30 - 7:00,green
6037101122,7:00 - 7:30,green
6037101122,7:30 - 8:00,green
6037101122,8:00 - 8:30,green
6037101122,8:30 - 9:00,green
6037101122,9:00 - 9:30,green
6037101122,9:30 - 10:00,green
6037101210,10:00 - 10:30,lime
6037101210,6:00 - 6:30,lime
6037101210,6:30 - 7:00,lime
6037101210,7:00 - 7:30,lime
6037101210,7:30 - 8:00,lime
6037101210,8:00 - 8:30,lime
6037101210,8:30 - 9:00,lime
6037101210,9:00 - 9:30,lime
6037101210,9:30 - 10:00,lime
6037101220,10:00 - 10:30,green
6037101220,6:00 - 6:30,green
6037101220,6:30 - 7:00,green
6037101220,7:00 - 7:30,green
6037101220,7:30 - 8:00,green
6037101220,8:00 - 8:30,green
6037101220,8:30 - 9:00,green
6037101220,9:00 - 9:30,green
6037101220,9:30 - 10:00,green
6037101300,10:00 - 10:30,green
6037101300,6:00 - 6:30,green
6037101300,6:30 - 7:00,green
6037101300,7:00 - 7:30,green
6037101300,7:30 - 8:00,green
6037101300,8:00 - 8:30,green
6037101300,8:30 - 9:00,green
6037101300,9:00 - 9:30,green
6037101300,9:30 - 10:00,green
6037101400,10:00 - 10:30,lime
6037101400,6:00 - 6:30,lime
6037101400,6:30 - 7:00,lime
6037101400,7:00 - 7:30,lime
6037101400,7:30 - 8:00,lime
6037101400,8:00 - 8:30,lime
6037101400,8:30 - 9:00,lime
6037101400,9:00 - 9:30,lime
6037101400,9:30 - 10:00,lime
6037102103,10:00 - 10:30,green
6037102103,6:00 - 6:30,green
6037102103,6:30 - 7:00,green
6037102103,7:00 - 7:30,green
6037102103,7:30 - 8:00,green
6037102103,8:00 - 8:30,green
6037102103,8:30 - 9:00,green
6037102103,9:00 - 9:30,green
6037102103,9:30 - 10:00,green
6037102104,10:00 - 10:30,lime
6037102104,6:00 - 6:30,green
6037102104,6:30 - 7:00,green
6037102104,7:00 - 7:30,lime
6037102104,7:30 - 8:00,green
6037102104,8:00 - 8:30,lime
6037102104,8:30 - 9:00,lime
6037102104,9:00 - 9:30,lime
6037102104,9:30 - 10:00,lime
6037102105,10:00 - 10:30,green
6037102105,6:00 - 6:30,green
6037102105,6:30 - 7:00,green
6037102105,7:00 - 7:30,green
6037102105,7:30 - 8:00,green
6037102105,8:00 - 8:30,green
6037102105,8:30 - 9:00,green
6037102105,9:00 - 9:30,green
6037102105,9:30 - 10:00,green
6037102107,10:00 - 10:30,lime
6037102107,6:00 - 6:30,green
6037102107,6:30 - 7:00,lime
6037102107,7:00 - 7:30,lime
6037102107,7:30 - 8:00,lime
6037102107,8:00 - 8:30,lime
6037102107,8:30 - 9:00,lime
6037102107,9:00 - 9:30,lime
6037102107,9:30 - 10:00,lime
6037103101,10:00 - 10:30,green
6037103101,6:00 - 6:30,green
6037103101,6:30 - 7:00,green
6037103101,7:00 - 7:30,green
6037103101,7:30 - 8:00,green
6037103101,8:00 - 8:30,green
6037103101,8:30 - 9:00,green
6037103101,9:00 - 9:30,green
6037103101,9:30 - 10:00,green
6037103102,10:00 - 10:30,lime
6037103102,6:00 - 6:30,green
6037103102,6:30 - 7:00,green
6037103102,7:00 - 7:30,green
6037103102,7:30 - 8:00,lime
6037103102,8:00 - 8:30,lime
6037103102,8:30 - 9:00,lime
6037103102,9:00 - 9:30,lime
6037103102,9:30 - 10:00,lime
6037103200,10:00 - 10:30,yellow
6037103200,6:00 - 6:30,green
6037103200,6:30 - 7:00,lime
6037103200,7:00 - 7:30,lime
6037103200,7:30 - 8:00,lime
6037103200,8:00 - 8:30,lime
6037103200,8:30 - 9:00,lime
6037103200,9:00 - 9:30,lime
6037103200,9:30 - 10:00,lime
6037103300,10:00 - 10:30,green
6037103300,6:00 - 6:30,green
6037103300,6:30 - 7:00,green
6037103300,7:00 - 7:30,green
6037103300,7:30 - 8:00,green
6037103300,8:00 - 8:30,green
6037103300,8:30 - 9:00,green
6037103300,9:00 - 9:30,green
6037103300,9:30 - 10:00,green
6037103400,10:00 - 10:30,lime
6037103400,6:00 - 6:30,lime
6037103400,6:30 - 7:00,lime
6037103400,7:00 - 7:30,lime
6037103400,7:30 - 8:00,lime
6037103400,8:00 - 8:30,lime
6037103400,8:30 - 9:00,yellow
6037103400,9:00 - 9:30,yellow
6037103400,9:30 - 10:00,lime
6037104103,10:00 - 10:30,green
6037104103,6:00 - 6:30,green
6037104103,6:30 - 7:00,green
6037104103,7:00 - 7:30,green
6037104103,7:30 - 8:00,green
6037104103,8:00 - 8:30,green
6037104103,8:30 - 9:00,green
6037104103,9:00 - 9:30,green
6037104103,9:30 - 10:00,green
6037104105,10:00 - 10:30,lime
6037104105,6:00 - 6:30,lime
6037104105,6:30 - 7:00,lime
6037104105,7:00 - 7:30,lime
6037104105,7:30 - 8:00,lime
6037104105,8:00 - 8:30,yellow
6037104105,8:30 - 9:00,yellow
6037104105,9:00 - 9:30,lime
6037104105,9:30 - 10:00,lime
6037104108,10:00 - 10:30,lime
6037104108,6:00 - 6:30,lime
6037104108,6:30 - 7:00,lime
6037104108,7:00 - 7:30,lime
6037104108,7:30 - 8:00,yellow
6037104108,8:00 - 8:30,yellow
6037104108,8:30 - 9:00,yellow
6037104108,9:00 - 9:30,yellow
6037104108,9:30 - 10:00,lime
6037104124,10:00 - 10:30,lime
6037104124,6:00 - 6:30,green
6037104124,6:30 - 7:00,lime
6037104124,7:00 - 7:30,green
6037104124,7:30 - 8:00,lime
