ct_id,time_period,color
9001010101,10:00 - 10:30,green
9001010101,6:00 - 6:30,green
9001010101,6:30 - 7:00,green
9001010101,7:00 - 7:30,green
9001010101,7:30 - 8:00,green
9001010101,8:00 - 8:30,green
9001010101,8:30 - 9:00,green
9001010101,9:00 - 9:30,green
9001010101,9:30 - 10:00,green
9001010102,10:00 - 10:30,green
9001010102,6:00 - 6:30,green
9001010102,6:30 - 7:00,green
9001010102,7:00 - 7:30,green
9001010102,7:30 - 8:00,green
9001010102,8:00 - 8:30,green
9001010102,8:30 - 9:00,green
9001010102,9:00 - 9:30,green
9001010102,9:30 - 10:00,green
9001010201,10:00 - 10:30,green
9001010201,6:00 - 6:30,green
9001010201,6:30 - 7:00,green
9001010201,7:00 - 7:30,green
9001010201,7:30 - 8:00,green
9001010201,8:00 - 8:30,green
9001010201,8:30 - 9:00,green
9001010201,9:00 - 9:30,green
9001010201,9:30 - 10:00,green
9001010202,10:00 - 10:30,green
9001010202,6:00 - 6:30,green
9001010202,6:30 - 7:00,green
9001010202,7:00 - 7:30,green
9001010202,7:30 - 8:00,green
9001010202,8:00 - 8:30,green
9001010202,8:30 - 9:00,green
9001010202,9:00 - 9:30,green
9001010202,9:30 - 10:00,green
9001010300,10:00 - 10:30,green
9001010300,6:00 - 6:30,green
9001010300,6:30 - 7:00,green
9001010300,7:00 - 7:30,green
9001010300,7:30 - 8:00,green
9001010300,8:00 - 8:30,green
9001010300,8:30 - 9:00,green
9001010300,9:00 - 9:30,green
9001010300,9:30 - 10:00,green
9001010400,10:00 - 10:30,green
9001010400,6:00 - 6:30,green
9001010400,6:30 - 7:00,green
9001010400,7:00 - 7:30,green
9001010400,7:30 - 8:00,green
9001010400,8:00 - 8:30,green
9001010400,8:30 - 9:00,green
9001010400,9:00 - 9:30,green
9001010400,9:30 - 10:00,green
9001010500,10:00 - 10:30,green
9001010500,6:00 - 6:30,green
9001010500,6:30 - 7:00,green
9001010500,7:00 - 7:30,green
9001010500,7:30 - 8:00,green
9001010500,8:00 - 8:30,green
9001010500,8:30 - 9:00,green
9001010500,9:00 - 9:30,green
9001010500,9:30 - 10:00,green
9001010600,10:00 - 10:30,green
9001010600,6:00 - 6:30,green
9001010600,6:30 - 7:00,green
9001010600,7:00 - 7:30,green
9001010600,7:30 - 8:00,green
9001010600,8:00 - 8:30,green
9001010600,8:30 - 9:00,green
9001010600,9:00 - 9:30,green
9001010600,9:30 - 10:00,green
9001010700,10:00 - 10:30,green
9001010700,6:00 - 6:30,green
9001010700,6:30 - 7:00,green
9001010700,7:00 - 7:30,green
9001010700,7:30 - 8:00,green
9001010700,8:00 - 8:30,green
9001010700,8:30 - 9:00,green
9001010700,9:00 - 9:30,green
9001010700,9:30 - 10:00,green
9001010800,10:00 - 10:30,green
9001010800,6:00 - 6:30,green
9001010800,6:30 - 7:00,green
9001010800,7:00 - 7:30,green
9001010800,7:30 - 8:00,green
9001010800,8:00 - 8:30,green
9001010800,8:30 - 9:00,green
9001010800,9:00 - 9:30,green
9001010800,9:30 - 10:00,green
9001010900,10:00 - 10:30,green
9001010900,6:00 - 6:30,green
9001010900,6:30 - 7:00,green
9001010900,7:00 - 7:30,green
9001010900,7:30 - 8:00,green
9001010900,8:00 - 8:30,green
9001010900,8:30 - 9:00,green
9001010900,9:00 - 9:30,green
9001010900,9:30 - 10:00,green
9001011000,10:00 - 10:30,green
9001011000,6:00 - 6:30,green
9001011000,6:30 - 7:00,green
9001011000,7:00 - 7:30,green
9001011000,7:30 - 8:00,green
9001011000,8:00 - 8:30,green
9001011000,8:30 - 9:00,green
9001011000,9:00 - 9:30,green
9001011000,9:30 - 10:00,green
9001011100,10:00 - 10:30,green
9001011100,6:00 - 6:30,green
9001011100,6:30 - 7:00,green
9001011100,7:00 - 7:30,green
9001011100,7:30 - 8:00,green
9001011100,8:00 - 8:30,green
9001011100,8:30 - 9:00,green
9001011100,9:00 - 9:30,green
9001011100,9:30 - 10:00,green
9001011200,10:00 - 10:30,green
9001011200,6:00 - 6:30,green
9001011200,6:30 - 7:00,green
9001011200,7:00 - 7:30,green
9001011200,7:30 - 8:00,green
9001011200,8:00 - 8:30,green
9001011200,8:30 - 9:00,green
9001011200,9:00 - 9:30,green
9001011200,9:30 - 10:00,green
9001020100,10:00 - 10:30,green
9001020100,6:00 - 6:30,green
9001020100,6:30 - 7:00,green
9001020100,7:00 - 7:30,green
9001020100,7:30 - 8:00,green
9001020100,8:00 - 8:30,green
9001020100,8:30 - 9:00,green
9001020100,9:00 - 9:30,green
9001020100,9:30 - 10:00,green
9001020200,10:00 - 10:30,green
9001020200,6:00 - 6:30,green
9001020200,6:30 - 7:00,green
9001020200,7:00 - 7:30,green
9001020200,7:30 - 8:00,green
9001020200,8:00 - 8:30,green
9001020200,8:30 - 9:00,green
9001020200,9:00 - 9:30,green
9001020200,9:30 - 10:00,green
9001020300,10:00 - 10:30,green
9001020300,6:00 - 6:30,green
9001020300,6:30 - 7:00,green
9001020300,7:00 - 7:30,green
9001020300,7:30 - 8:00,green
9001020300,8:00 - 8:30,green
9001020300,8:30 - 9:00,green
9001020300,9:00 - 9:30,green
9001020300,9:30 - 10:00,green
9001020400,10:00 - 10:30,green
9001020400,6:00 - 6:30,green
9001020400,6:30 - 7:00,green
9001020400,7:00 - 7:30,green
9001020400,7:30 - 8:00,green
9001020400,8:00 - 8:30,green
9001020400,8:30 - 9:00,green
9001020400,9:00 - 9:30,green
9001020400,9:30 - 10:00,green
9001020500,10:00 - 10:30,green
9001020500,6:00 - 6:30,green
9001020500,6:30 - 7:00,green
9001020500,7:00 - 7:30,green
9001020500,7:30 - 8:00,green
9001020500,8:00 - 8:30,green
9001020500,8:30 - 9:00,green
9001020500,9:00 - 9:30,green
9001020500,9:30 - 10:00,green
9001020600,10:00 - 10:30,green
9001020600,6:00 - 6:30,green
9001020600,6:30 - 7:00,green
9001020600,7:00 - 7:30,green
9001020600,7:30 - 8:00,green
9001020600,8:00 - 8:30,green
9001020600,8:30 - 9:00,green
9001020600,9:00 - 9:30,green
9001020600,9:30 - 10:00,green
9001020700,10:00 - 10:30,green
9001020700,6:00 - 6:30,green
9001020700,6:30 - 7:00,green
9001020700,7:00 - 7:30,green
9001020700,7:30 - 8:00,green
9001020700,8:00 - 8:30,green
9001020700,8:30 - 9:00,green
9001020700,9:00 - 9:30,green
9001020700,9:30 - 10:00,green
9001020800,10:00 - 10:30,green
9001020800,6:00 - 6:30,green
9001020800,6:30 - 7:00,green
9001020800,7:00 - 7:30,green
9001020800,7:30 - 8:00,green
9001020800,8:00 - 8:30,green
9001020800,8:30 - 9:00,green
9001020800,9:00 - 9:30,green
9001020800,9:30 - 10:00,green
9001020900,10:00 - 10:30,green
9001020900,6:00 - 6:30,green
9001020900,6:30 - 7:00,green
9001020900,7:00 - 7:30,green
9001020900,7:30 - 8:00,green
9001020900,8:00 - 8:30,green
9001020900,8:30 - 9:00,green
9001020900,9:00 - 9:30,green
9001020900,9:30 - 10:00,green
9001021000,10:00 - 10:30,green
9001021000,6:00 - 6:30,green
9001021000,6:30 - 7:00,green
9001021000,7:00 - 7:30,green
9001021000,7:30 - 8:00,green
9001021000,8:00 - 8:30,green
9001021000,8:30 - 9:00,green
9001021000,9:00 - 9:30,green
9001021000,9:30 - 10:00,green
9001021100,10:00 - 10:30,green
9001021100,6:00 - 6:30,green
9001021100,6:30 - 7:00,green
9001021100,7:00 - 7:30,green
9001021100,7:30 - 8:00,green
9001021100,8:00 - 8:30,green
9001021100,8:30 - 9:00,green
9001021100,9:00 - 9:30,green
9001021100,9:30 - 10:00,green
9001021200,10:00 - 10:30,green
9001021200,6:00 - 6:30,green
9001021200,6:30 - 7:00,green
9001021200,7:00 - 7:30,green
9001021200,7:30 - 8:00,green
9001021200,8:00 - 8:30,green
9001021200,8:30 - 9:00,green
9001021200,9:00 - 9:30,green
9001021200,9:30 - 10:00,green
9001021300,10:00 - 10:30,green
9001021300,6:00 - 6:30,green
9001021300,6:30 - 7:00,green
9001021300,7:00 - 7:30,green
9001021300,7:30 - 8:00,green
9001021300,8:00 - 8:30,green
9001021300,8:30 - 9:00,green
9001021300,9:00 - 9:30,green
9001021300,9:30 - 10:00,green
9001021400,10:00 - 10:30,green
9001021400,6:00 - 6:30,green
9001021400,6:30 - 7:00,green
9001021400,7:00 - 7:30,green
9001021400,7:30 - 8:00,green
9001021400,8:00 - 8:30,green
9001021400,8:30 - 9:00,green
9001021400,9:00 - 9:30,green
9001021400,9:30 - 10:00,green
9001021500,10:00 - 10:30,green
9001021500,6:00 - 6:30,green
9001021500,6:30 - 7:00,green
9001021500,7:00 - 7:30,green
9001021500,7:30 - 8:00,green
9001021500,8:00 - 8:30,green
9001021500,8:30 - 9:00,green
9001021500,9:00 - 9:30,green
9001021500,9:30 - 10:00,green
9001021600,10:00 - 10:30,green
9001021600,6:00 - 6:30,green
9001021600,6:30 - 7:00,green
9001021600,7:00 - 7:30,green
9001021600,7:30 - 8:00,green
9001021600,8:00 - 8:30,green
9001021600,8:30 - 9:00,green
9001021600,9:00 - 9:30,green
9001021600,9:30 - 10:00,green
9001021700,10:00 - 10:30,green
9001021700,6:00 - 6:30,green
9001021700,6:30 - 7:00,green
9001021700,7:00 - 7:30,green
9001021700,7:30 - 8:00,green
9001021700,8:00 - 8:30,green
9001021700,8:30 - 9:00,green
9001021700,9:00 - 9:30,green
9001021700,9:30 - 10:00,green
9001021801,10:00 - 10:30,green
9001021801,6:00 - 6:30,green
9001021801,6:30 - 7:00,green
9001021801,7:00 - 7:30,green
9001021801,7:30 - 8:00,green
9001021801,8:00 - 8:30,green
