,origin_puma,dest_puma,od_counts
0,17_3005,17_3005,13859
1,17_3005,17_3007,9584
2,17_3005,17_3008,2957
3,17_3005,17_3009,4701
4,17_3005,17_3102,2282
5,17_3005,17_3105,2934
6,17_3005,17_3106,3728
7,17_3005,17_3107,533
8,17_3005,17_3108,287
9,17_3005,17_3202,10371
10,17_3005,17_3203,3317
11,17_3005,17_3204,3365
12,17_3005,17_3205,10756
13,17_3005,17_3207,36952
14,17_3005,17_3208,21853
15,17_3005,17_3209,10884
16,17_3005,17_3306,120
17,17_3005,17_3308,902
18,17_3005,17_3309,674
19,17_3005,17_3310,4189
20,17_3005,17_3401,2451
21,17_3005,17_3407,4318
22,17_3005,17_3408,277
23,17_3005,17_3409,1139
24,17_3005,17_3410,849
25,17_3005,17_3411,133
26,17_3005,17_3412,25
27,17_3005,17_3413,10
28,17_3005,17_3414,6
29,17_3005,17_3415,4460
30,17_3005,17_3416,12640
31,17_3005,17_3417,4390
32,17_3005,17_3418,4445
33,17_3005,17_3419,14533
34,17_3005,17_3420,14169
35,17_3005,17_3421,4884
36,17_3005,17_3422,14587
37,17_3005,17_3501,344
38,17_3005,17_3502,170
39,17_3005,17_3503,417
40,17_3005,17_3504,663
41,17_3005,17_3520,650
42,17_3005,17_3521,692
43,17_3005,17_3522,569
44,17_3005,17_3523,919
45,17_3005,17_3524,33
46,17_3005,17_3525,21
47,17_3005,17_3526,21
48,17_3005,17_3527,90
49,17_3005,17_3530,5
50,17_3005,17_3532,4
51,17_3005,17_3601,353
52,17_3005,17_3602,1421
53,17_3005,17_3700,4066
54,17_3007,17_3005,5155
55,17_3007,17_3007,13269
56,17_3007,17_3008,6272
57,17_3007,17_3009,5952
58,17_3007,17_3102,24
59,17_3007,17_3105,82
60,17_3007,17_3106,105
61,17_3007,17_3107,36
62,17_3007,17_3108,16
63,17_3007,17_3202,1959
64,17_3007,17_3203,475
65,17_3007,17_3204,498
66,17_3007,17_3205,1688
67,17_3007,17_3207,6998
68,17_3007,17_3208,7704
69,17_3007,17_3209,3393
70,17_3007,17_3306,2233
71,17_3007,17_3307,11200
72,17_3007,17_3308,2928
73,17_3007,17_3309,11718
74,17_3007,17_3310,13629
