,origin_puma,dest_puma,od_counts
0,06_3701,06_3701,5425
1,06_3701,06_3702,7078
2,06_3701,06_3705,4527
3,06_3701,06_3706,5240
4,06_3701,06_3707,3657
5,06_3701,06_3708,1848
6,06_3701,06_3709,1674
7,06_3701,06_3710,4505
8,06_3701,06_3711,1225
9,06_3701,06_3712,854
10,06_3701,06_3713,1678
11,06_3701,06_3714,322
12,06_3701,06_3715,2019
13,06_3701,06_3716,1632
14,06_3701,06_3717,4846
15,06_3701,06_3718,1370
16,06_3701,06_3719,424
17,06_3701,06_3720,806
18,06_3701,06_3721,863
19,06_3701,06_3722,1308
20,06_3701,06_3723,2747
21,06_3701,06_3724,3466
22,06_3701,06_3725,4096
23,06_3701,06_3726,1547
24,06_3701,06_3727,1488
25,06_3701,06_3728,938
26,06_3701,06_3729,148
27,06_3701,06_3730,24
28,06_3701,06_3731,42
29,06_3701,06_3732,226
30,06_3701,06_3734,12
31,06_3701,06_3735,211
32,06_3701,06_3736,814
33,06_3701,06_3737,2639
34,06_3701,06_3738,2117
35,06_3701,06_3739,464
36,06_3701,06_3740,638
37,06_3701,06_3741,128
38,06_3701,06_3742,77
39,06_3701,06_3743,275
40,06_3701,06_3744,91
41,06_3701,06_3745,6
42,06_3701,06_3746,12
43,06_3701,06_3747,95
44,06_3701,06_3748,131
45,06_3701,06_3749,44
46,06_3701,06_3750,41
47,06_3701,06_3751,42
48,06_3701,06_3752,78
49,06_3701,06_3753,45
50,06_3701,06_3754,18
51,06_3701,06_3755,20
52,06_3701,06_3756,39
53,06_3701,06_3757,70
54,06_3701,06_3758,36
55,06_3701,06_3759,11
56,06_3701,06_3760,18
57,06_3701,06_3761,26
58,06_3701,06_3762,77
59,06_3701,06_3763,86
60,06_3701,06_3764,58
61,06_3701,06_3765,320
62,06_3701,06_3766,263
63,06_3701,06_3767,230
64,06_3701,06_3768,117
65,06_3701,06_3769,215
66,06_3701,06_5902,12
67,06_3701,06_5903,2
68,06_3701,06_5904,4
69,06_3701,06_5905,69
70,06_3701,06_5906,33
71,06_3701,06_5907,14
72,06_3701,06_5908,4
73,06_3701,06_5909,2
74,06_3701,06_5910,6
75,06_3701,06_5911,11
76,06_3701,06_5912,1
77,06_3701,06_5913,2
78,06_3701,06_5914,2
79,06_3701,06_5915,14
80,06_3701,06_5916,3
81,06_3701,06_5918,4
82,06_3701,06_6505,4
83,06_3701,06_6507,14
84,06_3701,06_6508,24
85,06_3701,06_6509,21
86,06_3701,06_6510,46
87,06_3701,06_6511,21
88,06_3701,06_6512,62
89,06_3701,06_6513,146
90,06_3701,06_6514,130
91,06_3701,06_7101,54
92,06_3701,06_7102,399
93,06_3701,06_7103,986
94,06_3701,06_7104,815
95,06_3701,06_7105,27
96,06_3701,06_7106,18
97,06_3701,06_7107,16
98,06_3701,06_7108,25
99,06_3701,06_7109,46
100,06_3701,06_7110,23
101,06_3701,06_7111,88
102,06_3701,06_7112,541
103,06_3701,06_7113,339
104,06_3701,06_7114,142
105,06_3701,06_7115,48
106,06_3701,06_11101,1202
107,06_3701,06_11102,527
108,06_3701,06_11105,1218
109,06_3702,06_3701,5202
110,06_3702,06_3702,7580
111,06_3702,06_3705,437
112,06_3702,06_3706,3702
113,06_3702,06_3707,2780
114,06_3702,06_3708,578
115,06_3702,06_3709,271
116,06_3702,06_3710,51
117,06_3702,06_3711,9
118,06_3702,06_3712,7
119,06_3702,06_3713,26
120,06_3702,06_3714,7
121,06_3702,06_3715,20
122,06_3702,06_3716,5
123,06_3702,06_3717,82
124,06_3702,06_3718,29
125,06_3702,06_3719,188
126,06_3702,06_3720,35
127,06_3702,06_3721,48
128,06_3702,06_3722,456
129,06_3702,06_3723,790
130,06_3702,06_3724,452
131,06_3702,06_3725,142
132,06_3702,06_3726,78
133,06_3702,06_3727,213
134,06_3702,06_3728,28
135,06_3702,06_3729,3
136,06_3702,06_3730,3
137,06_3702,06_3731,4
138,06_3702,06_3732,8
139,06_3702,06_3734,2
140,06_3702,06_3735,6
141,06_3702,06_3736,5
142,06_3702,06_3737,7
143,06_3702,06_3738,43
144,06_3702,06_3739,22
145,06_3702,06_3740,23
146,06_3702,06_3741,1
147,06_3702,06_3742,1
148,06_3702,06_3743,1
149,06_3702,06_3744,2
150,06_3702,06_3747,4
151,06_3702,06_3748,29
152,06_3702,06_3749,6
153,06_3702,06_3752,6
154,06_3702,06_3753,6
155,06_3702,06_3754,5
156,06_3702,06_3756,4
157,06_3702,06_3759,7
158,06_3702,06_3760,8
159,06_3702,06_3761,1
160,06_3702,06_3762,3
161,06_3702,06_3763,4
162,06_3702,06_3767,3
163,06_3702,06_5907,2
164,06_3702,06_7104,3
165,06_3702,06_7112,4
166,06_3702,06_11101,172
167,06_3702,06_11102,79
168,06_3702,06_11105,741
169,06_3705,06_3701,25509
170,06_3705,06_3702,29091
171,06_3705,06_3705,43240
172,06_3705,06_3706,36677
173,06_3705,06_3707,12118
174,06_3705,06_3708,2166
175,06_3705,06_3709,576
176,06_3705,06_3710,4
177,06_3705,06_3713,4
178,06_3705,06_3714,2
179,06_3705,06_3715,4
180,06_3705,06_3716,5
181,06_3705,06_3717,24
182,06_3705,06_3718,8
183,06_3705,06_3719,194
184,06_3705,06_3720,703
185,06_3705,06_3721,742
186,06_3705,06_3722,4028
187,06_3705,06_3723,13780
188,06_3705,06_3724,21836
189,06_3705,06_3725,25984
190,06_3705,06_3726,5745
191,06_3705,06_3727,2021
192,06_3705,06_3728,331
193,06_3705,06_3729,416
194,06_3705,06_3730,32
195,06_3705,06_3731,54
196,06_3705,06_3732,9
197,06_3705,06_3734,4721
198,06_3705,06_3735,3
199,06_3705,06_3736,2
200,06_3705,06_3737,3
201,06_3705,06_3738,6
202,06_3705,06_3739,17
203,06_3705,06_3740,7
204,06_3705,06_3741,93
205,06_3705,06_3742,24
206,06_3705,06_3743,92
207,06_3705,06_3744,4513
208,06_3705,06_3747,6
209,06_3705,06_3748,6
