,origin_puma,dest_puma,od_counts,color
0,34_301,34_301,14616,yellow
1,34_301,34_302,14328,yellow
2,34_301,34_303,3644,green
3,34_301,34_304,33933,orange
4,34_301,34_305,2882,green
5,34_301,34_306,2924,green
6,34_301,34_307,21410,yellow
7,34_301,34_308,14619,yellow
8,34_301,34_400,49023,orange
9,34_301,34_501,29617,orange
10,34_301,34_502,27212,orange
11,34_301,34_503,2161,green
12,34_301,34_601,475,green
13,34_301,34_602,266,green
14,34_301,36_701,1515,green
15,34_301,36_702,234,green
16,34_301,36_703,4965,green
17,34_301,36_904,22,green
18,34_301,36_905,297,green
19,34_301,34_1001,11,green
20,34_301,34_1003,20,green
21,34_301,34_1301,26690,orange
22,34_301,34_1302,61083,red
23,34_301,34_1401,13714,yellow
24,34_301,34_1402,79114,red
25,34_301,34_1403,15461,yellow
26,34_301,34_1404,20892,yellow
27,34_301,34_1501,745,green
28,34_301,34_1503,4355,green
29,34_301,34_1504,2767,green
30,34_301,34_1800,2461,green
31,34_301,34_1901,11393,yellow
32,34_301,34_1902,3655,green
33,34_301,34_1903,171,green
34,34_301,34_1904,403,green
35,34_301,36_2903,13,green
36,34_301,36_3001,35,green
37,34_301,36_3002,57,green
38,34_301,36_3003,87,green
39,34_301,36_3102,3,green
40,34_301,36_3103,127,green
41,34_301,36_3104,94,green
42,34_301,36_3105,1645,green
43,34_301,36_3106,9295,lime
44,34_301,36_3107,1356,green
45,34_301,36_3202,4,green
46,34_301,36_3206,13,green
47,34_301,36_3210,18,green
48,34_301,36_3212,72,green
49,34_301,36_3701,1717,green
50,34_301,36_3702,2099,green
51,34_301,36_3704,324,green
52,34_301,36_3705,2396,green
53,34_301,36_3706,428,green
54,34_301,36_3707,272,green
55,34_301,36_3708,1974,green
56,34_301,36_3709,4,green
57,34_301,36_3710,30,green
58,34_301,36_3801,2435,green
59,34_301,36_3802,56,green
60,34_301,36_3803,56,green
61,34_301,36_3804,78,green
62,34_301,36_3805,26,green
63,34_301,36_3806,40,green
64,34_301,36_3901,146,green
65,34_301,36_3902,146,green
66,34_301,36_4004,1012,green
67,34_301,36_4005,2024,green
68,34_301,36_4006,4048,green
69,34_301,36_4011,1012,green
70,34_301,36_4013,202,green
71,34_301,36_4101,78,green
72,34_301,36_4102,2,green
73,34_301,36_4103,4,green
74,34_302,34_301,24133,yellow
75,34_302,34_302,18863,yellow
76,34_302,34_303,22665,yellow
77,34_302,34_304,22633,yellow
78,34_302,34_305,17909,yellow
79,34_302,34_306,1092,green
80,34_302,34_307,23058,yellow
81,34_302,34_308,9915,lime
82,34_302,34_400,36223,orange
83,34_302,34_501,22529,yellow
84,34_302,34_502,18884,yellow
85,34_302,34_503,1762,green
86,34_302,34_601,2843,green
87,34_302,34_602,1375,green
88,34_302,36_701,14269,yellow
89,34_302,36_702,3032,green
90,34_302,36_703,7587,lime
91,34_302,36_902,29,green
92,34_302,36_903,4,green
93,34_302,36_904,43,green
94,34_302,36_905,90,green
95,34_302,36_906,29,green
96,34_302,34_1003,47,green
97,34_302,34_1301,21042,yellow
98,34_302,34_1302,24939,yellow
99,34_302,34_1401,15534,yellow
100,34_302,34_1402,51668,red
101,34_302,34_1403,9054,lime
102,34_302,34_1404,12850,yellow
103,34_302,34_1501,725,green
104,34_302,34_1503,4480,green
105,34_302,34_1504,4434,green
106,34_302,34_1800,624,green
107,34_302,34_1901,8150,lime
108,34_302,34_1902,2360,green
109,34_302,34_1903,84,green
110,34_302,34_1904,116,green
111,34_302,36_3001,95,green
112,34_302,36_3002,309,green
113,34_302,36_3003,166,green
114,34_302,36_3102,304,green
115,34_302,36_3103,108,green
116,34_302,36_3104,224,green
117,34_302,36_3105,4870,green
118,34_302,36_3106,32450,orange
119,34_302,36_3107,15555,yellow
120,34_302,36_3207,22,green
121,34_302,36_3208,44,green
122,34_302,36_3209,44,green
123,34_302,36_3701,39553,orange
124,34_302,36_3702,38792,orange
125,34_302,36_3703,8312,lime
126,34_302,36_3704,20249,yellow
