,origin_puma,dest_puma,od_counts,color
0,06_101,06_101,17413,yellow
1,06_101,06_102,4828,green
2,06_101,06_103,3755,green
3,06_101,06_104,149,green
4,06_101,06_105,421,green
5,06_101,06_106,226,green
6,06_101,06_107,221,green
7,06_101,06_108,212,green
8,06_101,06_109,132,green
9,06_101,06_110,168,green
10,06_101,06_1301,9571,lime
11,06_101,06_1302,7463,lime
12,06_101,06_1303,4501,green
13,06_101,06_1304,4666,green
14,06_101,06_1305,572,green
15,06_101,06_1306,4322,green
16,06_101,06_1307,559,green
17,06_101,06_1308,410,green
18,06_101,06_1309,129,green
19,06_101,06_4101,378,green
20,06_101,06_4102,479,green
21,06_101,06_7501,93,green
22,06_101,06_7502,42,green
23,06_101,06_7504,7,green
24,06_101,06_7505,33,green
25,06_101,06_7506,19,green
26,06_101,06_8101,56,green
27,06_101,06_8102,58,green
28,06_101,06_8103,144,green
29,06_101,06_8104,167,green
30,06_101,06_8105,110,green
31,06_101,06_8106,68,green
32,06_101,06_8501,74,green
33,06_101,06_8502,59,green
34,06_101,06_8503,17,green
35,06_101,06_8504,62,green
36,06_101,06_8506,8,green
37,06_101,06_8509,4,green
38,06_102,06_101,98575,red
39,06_102,06_102,68609,red
40,06_102,06_103,32461,orange
41,06_102,06_104,2354,green
42,06_102,06_105,5479,lime
43,06_102,06_106,1888,green
44,06_102,06_107,688,green
45,06_102,06_108,107,green
46,06_102,06_109,124,green
47,06_102,06_110,383,green
48,06_102,06_1301,52048,red
49,06_102,06_1302,47142,orange
50,06_102,06_1303,48796,orange
51,06_102,06_1304,41485,orange
52,06_102,06_1305,2042,green
53,06_102,06_1306,57294,red
54,06_102,06_1307,13905,yellow
55,06_102,06_1308,1178,green
56,06_102,06_1309,404,green
57,06_102,06_4101,50,green
58,06_102,06_4102,312,green
59,06_102,06_7501,319,green
60,06_102,06_7502,1566,green
61,06_102,06_7503,4075,green
62,06_102,06_7504,2962,green
63,06_102,06_7506,276,green
64,06_102,06_7507,1894,green
65,06_102,06_8101,17,green
66,06_102,06_8102,30,green
67,06_102,06_8103,67,green
68,06_102,06_8104,127,green
69,06_102,06_8105,92,green
70,06_102,06_8106,206,green
71,06_102,06_8501,205,green
72,06_102,06_8502,153,green
73,06_102,06_8503,102,green
74,06_102,06_8504,113,green
75,06_102,06_8505,11,green
76,06_102,06_8506,21,green
77,06_102,06_8507,70,green
78,06_102,06_8508,11,green
79,06_102,06_8509,18,green
80,06_102,06_8514,6,green
81,06_102,06_8701,2,green
82,06_103,06_101,45049,orange
83,06_103,06_102,63028,red
84,06_103,06_103,32149,orange
85,06_103,06_104,7702,lime
86,06_103,06_105,10613,yellow
87,06_103,06_106,2770,green
88,06_103,06_107,984,green
89,06_103,06_108,416,green
90,06_103,06_109,276,green
91,06_103,06_110,865,green
92,06_103,06_1301,26134,orange
93,06_103,06_1302,21099,yellow
94,06_103,06_1303,31226,orange
95,06_103,06_1304,28191,orange
96,06_103,06_1305,1873,green
97,06_103,06_1306,36536,orange
98,06_103,06_1307,9210,lime
99,06_103,06_1308,676,green
100,06_103,06_1309,408,green
101,06_103,06_4101,7,green
102,06_103,06_4102,183,green
103,06_103,06_7501,1131,green
104,06_103,06_7502,4752,green
105,06_103,06_7503,5832,lime
106,06_103,06_7504,1224,green
107,06_103,06_7505,143,green
108,06_103,06_7506,415,green
109,06_103,06_7507,712,green
110,06_103,06_8101,247,green
111,06_103,06_8102,328,green
112,06_103,06_8103,308,green
113,06_103,06_8104,447,green
114,06_103,06_8105,277,green
115,06_103,06_8106,898,green
116,06_103,06_8501,1124,green
117,06_103,06_8502,160,green
118,06_103,06_8503,119,green
119,06_103,06_8504,227,green
120,06_103,06_8505,50,green
121,06_103,06_8506,39,green
122,06_103,06_8507,70,green
123,06_103,06_8508,36,green
124,06_103,06_8509,125,green
125,06_103,06_8510,51,green
126,06_103,06_8511,19,green
127,06_103,06_8513,15,green
128,06_103,06_8514,91,green
129,06_103,06_8701,15,green
130,06_104,06_101,62042,red
131,06_104,06_102,130703,darkred
132,06_104,06_103,62586,red
133,06_104,06_104,17358,yellow
134,06_104,06_105,22127,yellow
135,06_104,06_106,3883,green
136,06_104,06_107,1652,green
137,06_104,06_108,737,green
138,06_104,06_109,1278,green
139,06_104,06_110,1038,green
140,06_104,06_1301,20569,yellow
141,06_104,06_1302,17815,yellow
142,06_104,06_1303,35529,orange
143,06_104,06_1304,39206,orange
144,06_104,06_1305,2611,green
145,06_104,06_1306,47268,orange
146,06_104,06_1307,6716,lime
147,06_104,06_1308,287,green
148,06_104,06_1309,211,green
149,06_104,06_4101,6,green
150,06_104,06_4102,168,green
151,06_104,06_7501,1753,green
152,06_104,06_7502,6168,lime
153,06_104,06_7503,7333,lime
154,06_104,06_7504,1924,green
155,06_104,06_7505,78,green
156,06_104,06_7506,1586,green
157,06_104,06_7507,2830,green
158,06_104,06_8101,2958,green
159,06_104,06_8102,2164,green
160,06_104,06_8103,667,green
161,06_104,06_8104,265,green
162,06_104,06_8105,85,green
163,06_104,06_8106,713,green
164,06_104,06_8501,1041,green
165,06_104,06_8502,138,green
166,06_104,06_8503,116,green
167,06_104,06_8504,148,green
168,06_104,06_8505,17,green
169,06_104,06_8506,57,green
170,06_104,06_8507,105,green
171,06_104,06_8508,54,green
172,06_104,06_8509,114,green
173,06_104,06_8510,52,green
174,06_104,06_8511,14,green
175,06_104,06_8512,1,green
176,06_104,06_8513,14,green
177,06_104,06_8514,65,green
178,06_104,06_8701,3,green
179,06_105,06_101,45521,orange
180,06_105,06_102,74993,red
181,06_105,06_103,36646,orange
182,06_105,06_104,11478,yellow
183,06_105,06_105,12881,yellow
184,06_105,06_106,2391,green
185,06_105,06_107,1331,green
186,06_105,06_108,688,green
187,06_105,06_109,961,green
188,06_105,06_110,979,green
189,06_105,06_1301,10969,yellow
190,06_105,06_1302,11283,yellow
191,06_105,06_1303,23734,yellow
192,06_105,06_1304,26225,orange
193,06_105,06_1305,2275,green
194,06_105,06_1306,32222,orange
195,06_105,06_1307,4213,green
196,06_105,06_1308,243,green
197,06_105,06_1309,200,green
198,06_105,06_4101,146,green
199,06_105,06_4102,266,green
200,06_105,06_7501,771,green
201,06_105,06_7502,3459,green
202,06_105,06_7503,6393,lime
203,06_105,06_7504,3537,green
204,06_105,06_7505,1119,green
205,06_105,06_7506,7979,lime
206,06_105,06_7507,16052,yellow
207,06_105,06_8101,17352,yellow
208,06_105,06_8102,23032,yellow
209,06_105,06_8103,4806,green
210,06_105,06_8104,2401,green
211,06_105,06_8105,430,green
212,06_105,06_8106,221,green
213,06_105,06_8501,159,green
214,06_105,06_8502,202,green
215,06_105,06_8503,194,green
216,06_105,06_8504,134,green
217,06_105,06_8505,29,green
218,06_105,06_8506,36,green
219,06_105,06_8507,136,green
220,06_105,06_8508,66,green
221,06_105,06_8509,82,green
222,06_105,06_8510,34,green
223,06_105,06_8511,15,green
224,06_105,06_8512,1,green
225,06_105,06_8513,20,green
226,06_105,06_8514,37,green
227,06_105,06_8701,4,green
228,06_106,06_101,3802,green
229,06_106,06_102,12116,yellow
230,06_106,06_103,7507,lime
231,06_106,06_104,7155,lime
232,06_106,06_105,9627,lime
233,06_106,06_106,5257,lime
234,06_106,06_107,3863,green
235,06_106,06_108,1785,green
236,06_106,06_109,560,green
237,06_106,06_110,1265,green
238,06_106,06_1301,1302,green
239,06_106,06_1302,1181,green
240,06_106,06_1303,1418,green
241,06_106,06_1304,3638,green
242,06_106,06_1305,1634,green
243,06_106,06_1306,3289,green
244,06_106,06_1307,323,green
245,06_106,06_1308,320,green
246,06_106,06_1309,384,green
247,06_106,06_4101,36,green
248,06_106,06_4102,103,green
249,06_106,06_7501,940,green
250,06_106,06_7502,1614,green
251,06_106,06_7503,4524,green
252,06_106,06_7504,4194,green
253,06_106,06_7505,2204,green
254,06_106,06_7506,13010,yellow
255,06_106,06_7507,24300,yellow
256,06_106,06_8101,36268,orange
257,06_106,06_8102,57070,red
258,06_106,06_8103,23455,yellow
259,06_106,06_8104,10434,yellow
260,06_106,06_8105,2995,green
261,06_106,06_8106,1710,green
262,06_106,06_8501,505,green
263,06_106,06_8502,160,green
264,06_106,06_8503,171,green
265,06_106,06_8504,194,green
266,06_106,06_8505,42,green
267,06_106,06_8506,44,green
268,06_106,06_8507,159,green
269,06_106,06_8508,112,green
270,06_106,06_8509,118,green
271,06_106,06_8510,85,green
272,06_106,06_8511,78,green
273,06_106,06_8512,45,green
274,06_106,06_8513,47,green
275,06_106,06_8514,58,green
276,06_106,06_8701,71,green
277,06_107,06_101,147,green
278,06_107,06_102,760,green
279,06_107,06_103,1444,green
280,06_107,06_104,5526,lime
281,06_107,06_105,22995,yellow
282,06_107,06_106,27269,orange
283,06_107,06_107,16743,yellow
284,06_107,06_108,10213,yellow
285,06_107,06_109,6030,lime
286,06_107,06_110,3988,green
287,06_107,06_1301,95,green
288,06_107,06_1302,44,green
289,06_107,06_1303,70,green
290,06_107,06_1304,194,green
291,06_107,06_1305,1556,green
292,06_107,06_1306,67,green
293,06_107,06_1307,4,green
294,06_107,06_1308,47,green
295,06_107,06_1309,47,green
296,06_107,06_4101,59,green
297,06_107,06_4102,111,green
298,06_107,06_7501,671,green
299,06_107,06_7502,1021,green
300,06_107,06_7503,4427,green
301,06_107,06_7504,4563,green
302,06_107,06_7505,2721,green
303,06_107,06_7506,16203,yellow
304,06_107,06_7507,28531,orange
305,06_107,06_8101,43458,orange
306,06_107,06_8102,66823,red
307,06_107,06_8103,40615,orange
308,06_107,06_8104,18267,yellow
309,06_107,06_8105,14825,yellow
310,06_107,06_8106,12629,yellow
311,06_107,06_8501,4102,green
312,06_107,06_8502,747,green
313,06_107,06_8503,147,green
314,06_107,06_8504,522,green
315,06_107,06_8505,41,green
316,06_107,06_8506,146,green
317,06_107,06_8507,189,green
318,06_107,06_8508,72,green
319,06_107,06_8509,70,green
320,06_107,06_8510,84,green
321,06_107,06_8511,102,green
322,06_107,06_8512,62,green
323,06_107,06_8513,50,green
324,06_107,06_8514,32,green
325,06_107,06_8701,143,green
326,06_108,06_101,218,green
327,06_108,06_102,1558,green
328,06_108,06_103,2384,green
329,06_108,06_104,5309,lime
330,06_108,06_105,24309,yellow
331,06_108,06_106,48285,orange
332,06_108,06_107,52164,red
333,06_108,06_108,29544,orange
334,06_108,06_109,16877,yellow
335,06_108,06_110,9311,lime
336,06_108,06_1301,74,green
337,06_108,06_1302,21,green
338,06_108,06_1303,8,green
339,06_108,06_1304,165,green
340,06_108,06_1305,3655,green
341,06_108,06_1306,58,green
342,06_108,06_1307,2,green
343,06_108,06_1308,39,green
344,06_108,06_1309,39,green
345,06_108,06_4101,48,green
346,06_108,06_4102,83,green
347,06_108,06_7501,147,green
348,06_108,06_7502,549,green
349,06_108,06_7503,2538,green
350,06_108,06_7504,3013,green
351,06_108,06_7505,894,green
352,06_108,06_7506,5649,lime
353,06_108,06_7507,12550,yellow
354,06_108,06_8101,20662,yellow
355,06_108,06_8102,33860,orange
356,06_108,06_8103,31473,orange
357,06_108,06_8104,28329,orange
358,06_108,06_8105,27298,orange
359,06_108,06_8106,28361,orange
360,06_108,06_8501,12666,yellow
361,06_108,06_8502,3698,green
362,06_108,06_8503,586,green
363,06_108,06_8504,2658,green
364,06_108,06_8505,65,green
365,06_108,06_8506,362,green
366,06_108,06_8507,215,green
367,06_108,06_8508,60,green
368,06_108,06_8509,285,green
369,06_108,06_8510,167,green
370,06_108,06_8511,216,green
371,06_108,06_8512,94,green
372,06_108,06_8513,194,green
373,06_108,06_8514,72,green
374,06_108,06_8701,145,green
375,06_109,06_101,17,green
376,06_109,06_102,1177,green
377,06_109,06_103,1515,green
378,06_109,06_104,3177,green
379,06_109,06_105,13376,yellow
380,06_109,06_106,37000,orange
381,06_109,06_107,51867,red
382,06_109,06_108,35764,orange
383,06_109,06_109,19798,yellow
384,06_109,06_110,9924,lime
385,06_109,06_1301,59,green
386,06_109,06_1302,20,green
387,06_109,06_1303,9,green
388,06_109,06_1304,239,green
389,06_109,06_1305,3606,green
390,06_109,06_1306,5,green
391,06_109,06_1308,1,green
392,06_109,06_1309,1,green
393,06_109,06_4101,12,green
394,06_109,06_4102,34,green
395,06_109,06_7501,43,green
396,06_109,06_7502,237,green
397,06_109,06_7503,348,green
398,06_109,06_7504,536,green
399,06_109,06_7505,181,green
400,06_109,06_7506,859,green
401,06_109,06_7507,2736,green
402,06_109,06_8101,9105,lime
403,06_109,06_8102,16628,yellow
404,06_109,06_8103,25648,orange
405,06_109,06_8104,31466,orange
406,06_109,06_8105,39806,orange
407,06_109,06_8106,30841,orange
408,06_109,06_8501,10952,yellow
409,06_109,06_8502,2420,green
410,06_109,06_8503,519,green
411,06_109,06_8504,1991,green
412,06_109,06_8505,14,green
413,06_109,06_8506,287,green
414,06_109,06_8507,254,green
415,06_109,06_8508,141,green
416,06_109,06_8509,160,green
417,06_109,06_8510,48,green
418,06_109,06_8511,99,green
419,06_109,06_8512,29,green
420,06_109,06_8513,77,green
421,06_109,06_8514,25,green
422,06_109,06_8701,146,green
423,06_110,06_101,1394,green
424,06_110,06_102,8003,lime
425,06_110,06_103,6725,lime
426,06_110,06_104,7994,lime
427,06_110,06_105,13752,yellow
428,06_110,06_106,21601,yellow
429,06_110,06_107,36092,orange
430,06_110,06_108,29297,orange
431,06_110,06_109,12482,yellow
432,06_110,06_110,4528,green
433,06_110,06_1301,380,green
434,06_110,06_1302,439,green
435,06_110,06_1303,819,green
436,06_110,06_1304,2466,green
437,06_110,06_1305,2288,green
438,06_110,06_1306,1745,green
439,06_110,06_1307,256,green
440,06_110,06_1308,189,green
441,06_110,06_1309,181,green
442,06_110,06_4101,28,green
443,06_110,06_4102,98,green
444,06_110,06_7501,24,green
445,06_110,06_7502,153,green
446,06_110,06_7503,142,green
447,06_110,06_7504,27,green
448,06_110,06_7505,147,green
449,06_110,06_7506,861,green
450,06_110,06_7507,1287,green
451,06_110,06_8101,4713,green
452,06_110,06_8102,7183,lime
453,06_110,06_8103,19571,yellow
454,06_110,06_8104,26528,orange
455,06_110,06_8105,30806,orange
456,06_110,06_8106,21242,yellow
457,06_110,06_8501,6340,lime
458,06_110,06_8502,2781,green
459,06_110,06_8503,535,green
460,06_110,06_8504,2012,green
461,06_110,06_8505,44,green
462,06_110,06_8506,119,green
463,06_110,06_8507,271,green
464,06_110,06_8508,52,green
465,06_110,06_8509,263,green
466,06_110,06_8510,50,green
467,06_110,06_8511,145,green
468,06_110,06_8512,103,green
469,06_110,06_8513,59,green
470,06_110,06_8514,115,green
471,06_110,06_8701,84,green
472,06_1301,06_101,1011,green
473,06_1301,06_102,256,green
474,06_1301,06_103,119,green
475,06_1301,06_104,16,green
476,06_1301,06_105,39,green
477,06_1301,06_106,147,green
478,06_1301,06_107,96,green
479,06_1301,06_108,88,green
480,06_1301,06_109,43,green
481,06_1301,06_110,87,green
482,06_1301,06_1301,9443,lime
483,06_1301,06_1302,3654,green
484,06_1301,06_1303,1150,green
485,06_1301,06_1304,1038,green
